u_p u_o u_r i_mA adc_uo adc_ur dac_val r
0.000000 1.277419 1.277419 10.645162 396 396 158 120
0.000000 1.283871 1.283871 10.698925 398 398 159 120
0.000000 1.293548 1.293548 10.779570 401 401 160 120
0.000000 1.300000 1.300000 10.833333 403 403 161 120
0.000000 1.309677 1.309677 10.913979 406 406 162 120
0.000000 1.319355 1.319355 10.994624 409 409 163 120
0.003226 1.329032 1.325806 11.048388 412 411 164 120
0.003226 1.335484 1.332258 11.102151 414 413 165 120
0.000000 1.341936 1.341936 11.182796 416 416 166 120
0.000000 1.348387 1.348387 11.236560 418 418 167 120
0.003226 1.358065 1.354839 11.290323 421 420 168 120
0.006452 1.367742 1.361290 11.344087 424 422 169 120
0.003226 1.374194 1.370968 11.424731 426 425 170 120
0.006452 1.383871 1.377419 11.478495 429 427 171 120
0.009677 1.393548 1.383871 11.532258 432 429 172 120
0.009677 1.400000 1.390323 11.586021 434 431 173 120
0.009677 1.406452 1.396774 11.639785 436 433 174 120
0.012903 1.416129 1.403226 11.693548 439 435 175 120
0.012903 1.422581 1.409677 11.747312 441 437 176 120
0.016129 1.432258 1.416129 11.801075 444 439 177 120
0.016129 1.438710 1.422581 11.854838 446 441 178 120
0.019355 1.448387 1.429032 11.908602 449 443 179 120
0.022581 1.458065 1.435484 11.962365 452 445 180 120
0.025806 1.464516 1.438710 11.989248 454 446 181 120
0.029032 1.470968 1.441936 12.016129 456 447 182 120
0.032258 1.480645 1.448387 12.069893 459 449 183 120
0.035484 1.487097 1.451613 12.096775 461 450 184 120
0.038710 1.496774 1.458065 12.150538 464 452 185 120
0.041935 1.503226 1.461290 12.177420 466 453 186 120
0.048387 1.512903 1.464516 12.204302 469 454 187 120
0.054839 1.522581 1.467742 12.231183 472 455 188 120
0.058064 1.529032 1.470968 12.258065 474 456 189 120
0.061290 1.535484 1.474194 12.284946 476 457 190 120
0.067742 1.545161 1.477419 12.311829 479 458 191 120
0.070968 1.551613 1.480645 12.338710 481 459 192 120
0.077419 1.561290 1.483871 12.365592 484 460 193 120
0.083871 1.570968 1.487097 12.392473 487 461 194 120
0.087097 1.577419 1.490323 12.419355 489 462 195 120
0.093548 1.587097 1.493548 12.446237 492 463 196 120
0.096774 1.593548 1.496774 12.473119 494 464 197 120
0.103226 1.600000 1.496774 12.473119 496 464 198 120
0.109677 1.609677 1.500000 12.500000 499 465 199 120
0.112903 1.616129 1.503226 12.526882 501 466 200 120
0.122581 1.625806 1.503226 12.526882 504 466 201 120
0.129032 1.635484 1.506452 12.553763 507 467 202 120
0.132258 1.641935 1.509677 12.580646 509 468 203 120
0.141935 1.651613 1.509677 12.580646 512 468 204 120
0.145161 1.658064 1.512903 12.607527 514 469 205 120
0.151613 1.664516 1.512903 12.607527 516 469 206 120
0.158064 1.674194 1.516129 12.634409 519 470 207 120
0.164516 1.680645 1.516129 12.634409 521 470 208 120
0.170968 1.690323 1.519355 12.661290 524 471 209 120
0.180645 1.700000 1.519355 12.661290 527 471 210 120
0.187097 1.706452 1.519355 12.661290 529 471 211 120
0.193548 1.716129 1.522581 12.688172 532 472 212 120
0.200000 1.722581 1.522581 12.688172 534 472 213 120
0.203226 1.729032 1.525806 12.715054 536 473 214 120
0.212903 1.738710 1.525806 12.715054 539 473 215 120
0.216129 1.745161 1.529032 12.741936 541 474 216 120
0.225806 1.754839 1.529032 12.741936 544 474 217 120
0.232258 1.761290 1.529032 12.741936 546 474 218 120
0.238710 1.770968 1.532258 12.768817 549 475 219 120
0.248387 1.780645 1.532258 12.768817 552 475 220 120
0.251613 1.787097 1.535484 12.795699 554 476 221 120
0.261290 1.796774 1.535484 12.795699 557 476 222 120
0.267742 1.803226 1.535484 12.795699 559 476 223 120
0.270968 1.809677 1.538710 12.822580 561 477 224 120
0.280645 1.819355 1.538710 12.822580 564 477 225 120
0.290323 1.829032 1.538710 12.822580 567 477 226 120
0.296774 1.838710 1.541935 12.849463 570 478 227 120
0.303226 1.845161 1.541935 12.849463 572 478 228 120
0.312903 1.854839 1.541935 12.849463 575 478 229 120
0.319355 1.861290 1.541935 12.849463 577 478 230 120
0.322581 1.867742 1.545161 12.876344 579 479 231 120
0.329032 1.874194 1.545161 12.876344 581 479 232 120
0.338710 1.883871 1.545161 12.876344 584 479 233 120
0.345161 1.893548 1.548387 12.903226 587 480 234 120
0.354839 1.903226 1.548387 12.903226 590 480 235 120
0.361290 1.909677 1.548387 12.903226 592 480 236 120
0.370968 1.919355 1.548387 12.903226 595 480 237 120
0.374194 1.925806 1.551613 12.930107 597 481 238 120
0.380645 1.932258 1.551613 12.930107 599 481 239 120
0.390323 1.941936 1.551613 12.930107 602 481 240 120
0.396774 1.948387 1.551613 12.930107 604 481 241 120
0.406452 1.958065 1.551613 12.930107 607 481 242 120
0.412903 1.967742 1.554839 12.956989 610 482 243 120
0.419355 1.974194 1.554839 12.956989 612 482 244 120
0.429032 1.983871 1.554839 12.956989 615 482 245 120
0.435484 1.990323 1.554839 12.956989 617 482 246 120
0.445161 2.000000 1.554839 12.956989 620 482 247 120
0.448387 2.006452 1.558064 12.983871 622 483 248 120
0.454839 2.012903 1.558064 12.983871 624 483 249 120
0.464516 2.022581 1.558064 12.983871 627 483 250 120
0.474194 2.032258 1.558064 12.983871 630 483 251 120
0.480645 2.041935 1.561290 13.010753 633 484 252 120
0.487097 2.048387 1.561290 13.010753 635 484 253 120
0.493548 2.054839 1.561290 13.010753 637 484 254 120
0.503226 2.064516 1.561290 13.010753 640 484 255 120
